recall_id,recall_number,recall_date,year,title,segment,is_childrens,hazard_category,is_violation,injuries_reported,units,price_usd,sales_channel,n_countries,countries,primary_country,remedy_options,main_fiber,url
7972,17081,2017-02-02,2017,Walt Disney Parks and Resorts Recalls Mickey Mouse Nightlights Due to Fire Hazard,apparel,False,flammability_burn,False,False,3000.0,15.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Walt-Disney-Parks-and-Resorts-Recalls-Mickey-Mouse-Nightlights
7988,17099,2017-02-28,2017,Dillard’s Recalls Baby Jackets Due to Choking Hazard,apparel,True,choking_small_parts,False,False,1800.0,40.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Dillards-Recalls-Baby-Jackets
7996,17733,2017-03-07,2017,L.L. Bean Recalls Snowshoes Due to Fall Hazard (Recall Alert),apparel,False,fall_slip,False,False,3000.0,170.0,mixed,1,Taiwan,Taiwan,Refund,,https://www.cpsc.gov/Recalls/2017/LL-Bean-Recalls-Snowshoes
8001,17110,2017-03-14,2017,LIVLY Recalls Children's Sleepwear Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,1200.0,55.0,mixed,1,Peru,Peru,Refund,cotton,https://www.cpsc.gov/Recalls/2017/LIVLY-Recalls-Childrens-Sleepwear
8037,17141,2017-04-26,2017,Women's Sweaters Recalled by FatFace Due to Violation of Federal Flammability Standard,apparel,False,flammability_burn,True,True,400.0,60.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Womens-Sweaters-Recalled-by-FatFace
8038,17142,2017-04-27,2017,Osprey Recalls Child Backpack Carriers Due to Fall Hazard,apparel,True,fall_slip,False,True,82000.0,250.0,mixed,1,Vietnam,Vietnam,Repair,,https://www.cpsc.gov/Recalls/2017/Osprey-Recalls-Child-Backpack-Carriers
8042,17741,2017-05-05,2017,Women's Scarves Recalled by DGFA Due to Violation of Federal Flammability Standard; Sold Exclusively on Amazon.com (Recall Alert),apparel,False,flammability_burn,True,False,200.0,15.5,online_only,1,China,China,Refund,silk,https://www.cpsc.gov/Recalls/2017/Womens-Scarves-Recalled-by-DGFA-Recall-Alert
8056,17155,2017-05-17,2017,Douglas Recalls Plush Toys Due to Choking Hazard,apparel,False,choking_small_parts,False,False,25000.0,20.0,store_only,1,China,China,Refund;Replace,,https://www.cpsc.gov/Recalls/2017/Douglas-Recalls-Plush-Toys
8078,17178,2017-06-15,2017,Little Giraffe Recalls Children's Robes Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,2000.0,100.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2017/Little-Giraffe-Recalls-Childrens-Robes
8079,17749,2017-06-15,2017,iFashioning Recalls Women's Scarves Due to Violation of Federal Flammability Standard; Sold Exclusively on Amazon.com (Recall Alert),apparel,False,flammability_burn,True,False,2000.0,12.5,online_only,1,China,China,Refund,silk,https://www.cpsc.gov/Recalls/2017/iFashioning-Recalls-Womens-Scarves-Recall-Alert
